"Date","Location","Victim","Industry","Actor Location","Actor","Motive","Type","Sub-Type"
"2023-12-31","United Kingdom of Great Britain and Northern Ireland","Radioactive Waste Management","Administrative and Support and Waste Management and Remediation Services","Undetermined","Undetermined","Undetermined","Undetermined","Undetermined"
"2023-12-31","Belarus","BelTA","Information","Belarus","Belarusian Cyber-Partisans","Protest","Disruptive","Undetermined"
"2023-12-30","United States of America","Xerox Business Solutions","Administrative and Support and Waste Management and Remediation Services","Undetermined","INC Ransom","Financial","Mixed","Exploitation of Application Server"
"2023-12-30","Iran (Islamic Republic of)","SnappFood","Accommodation and Food Services","Undetermined","Irleaks","Financial","Mixed","Exploitation of Application Server"
"2023-12-29","Canada","Memorial University of Newfoundland","Educational Services","Undetermined","Undetermined","Financial","Disruptive","Undetermined"
"2023-12-28","India","Prominent journalists in India including Siddharth Varadarajan, and Anand Mangnale","Information","Undetermined","Undetermined","Political-Espionage","Exploitive","Exploitation of End Host"
"2023-12-28","United States of America","Reinsel Kuntz Lesher","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-28","United States of America","Mountain Dermatology Specialists","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of End Host"
"2023-12-28","United Kingdom of Great Britain and Northern Ireland","Bell Group","Real Estate and Rental and Leasing","Undetermined","Cactus","Financial","Mixed","Exploitation of Application Server"
"2023-12-28","Australia","Tridon Australia","Manufacturing","Undetermined","Cactus","Financial","Mixed","Exploitation of Application Server"
"2023-12-27","United States of America","Panasonic Avionics Corporation","Manufacturing","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-27","United States of America","Fallon Ambulance Services","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-27","Israel","IEC (Israel Electricity Corporation)","Utilities","Iran (Islamic Republic of)","Islamic Revolutionary Guard Corps (IRGC)","Sabotage","Exploitive","Exploitation of Application Server"
"2023-12-27","United States of America","Anna Jaques Hospital","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-26","Iran (Islamic Republic of)","Expert Information Technologists (Fanavaran)","Finance and Insurance","Undetermined","Irleaks","Financial","Exploitive","Exploitation of Application Server"
"2023-12-24","United States of America","Integris Health","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-24","Trinidad and Tobago","National Insurance Board (NIBTT)","Public Administration","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-24","Germany","Katholische Hospitalvereinigung Ostwestfalen","Health Care and Social Assistance","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-24","United States of America","Ohio Lottery","Arts, Entertainment, and Recreation","Undetermined","DragonForce","Financial","Mixed","Exploitation of Application Server"
"2023-12-24","Australia","Eagers Automotive","Retail Trade","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-22","United States of America","Mint Mobile","Information","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-22","Australia","St Vincent's Health Australia","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Undetermined","Undetermined"
"2023-12-22","United States of America","National Amusements","Arts, Entertainment, and Recreation","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-22","Sweden","Coop Sverige","Retail Trade","Undetermined","Cactus","Financial","Mixed","Exploitation of Application Server"
"2023-12-22","United Kingdom of Great Britain and Northern Ireland","Xeinadin","Professional, Scientific, and Technical Services","Undetermined","LockBit 3.0","Financial","Mixed","Exploitation of Application Server"
"2023-12-22","United States of America","HealthEC","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-22","United States of America","ProSmile Holdings","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Undetermined","Undetermined"
"2023-12-22","United States of America","Retina Group of Washington","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Undetermined"
"2023-12-22","United States of America","Meridian Behavioral Healthcare","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Undetermined"
"2023-12-22","United States of America","Clay County","Public Administration","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-22","India","Bharat Sanchar Nigam (BSNL)","Information","Undetermined","Perell","Financial","Exploitive","Exploitation of Application Server"
"2023-12-22","New Zealand","Yakult Australia","Accommodation and Food Services","Undetermined","DragonForce","Financial","Undetermined","Undetermined"
"2023-12-22","Albania","Albanian Parliament","Public Administration","Iran (Islamic Republic of)","Homeland Justice","Protest","Undetermined","Undetermined"
"2023-12-22","Albania","One Albania","Information","Iran (Islamic Republic of)","Homeland Justice","Protest","Undetermined","Undetermined"
"2023-12-22","Jordan","Abdali Hospital","Health Care and Social Assistance","Undetermined","Rhysida","Financial","Mixed","Exploitation of Application Server"
"2023-12-22","New Zealand","Yakult Australia","Accommodation and Food Services","Undetermined","DragonForce","Financial","Mixed","Exploitation of Application Server"
"2023-12-21","United States of America","Security 1st Title","Finance and Insurance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-21","United States of America","Fresno Surgical Hospital","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-20","India","HCL Technologies","Professional, Scientific, and Technical Services","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-20","Russian Federation","Bitrix24","Professional, Scientific, and Technical Services","Ukraine","IT Army of Ukraine","Protest","Disruptive","External Denial of Service"
"2023-12-20","United States of America","Liberty Hospital","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Mixed","Exploitation of Application Server"
"2023-12-20","Russian Federation","Rosvodokanal","Utilities","Ukraine","BLACKJACK","Protest","Exploitive","Exploitation of Application Server"
"2023-12-20","United States of America","Lake County Health Department","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of End Host"
"2023-12-20","United States of America","First American Financial Corporation","Finance and Insurance","Undetermined","Undetermined","Financial","Undetermined","Undetermined"
"2023-12-20","United States of America","First Choice Dental","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-20","France","Ubisoft","Information","Undetermined","Undetermined","Financial","Exploitive","Exploitation of Application Server"
"2023-12-19","United States of America","Southern Illinois Healthcare - Harrisburg Medical Center","Health Care and Social Assistance","Undetermined","Undetermined","Financial","Undetermined","Undetermined"
"2023-12-19","Russian Federation","Russian agro-industrial in Russia","Accommodation and Food Services","Undetermined","Cloud Atlas","Political-Espionage","Exploitive","Undetermined"
